index_f,Nuovo ID,hallow_back,rilegatura_moderna,Colonna1,Collocazione,roman_converted,disambiguatore,numero_del_codice,numerazione_araba,numerazione_romana_alternativa,ulteriore_numerazione_arabaoromana,identificativo_parte,Spagnolo,note,titolo,materiale,datazione_i,datazione_i,datazione_f,lingua,fogli,altezza,ampiezza,rilegatura,tipo_rilegatura,materiale_rilegatura,palinsesto,testo_indistinto,danni_fuoco,cancro_pergamena,margini_danneggiati,danni_umidita,restaurato,anno_restauro,dorature,disegni,miniato,colori,rosso,blue,preferred_manifest_url
680,m0657_0,,,,[II B 3],657,_0,DCLVII,,,,,509,,Atti riguardanti la Chiesa di Verona,cartaceo,1700,1701,1800,,45,258,190,rilegato,pergamena,,,,,,,,,,,,,,,,
681,m0658_0,,,,[II B 4],658,_0,DCLVIII,,,,,509,,Difesa teologica intorno ai funerali dei canonici,cartaceo,1700,1701,1800,,99,260,185,fogli sciolti,,,,,,,,,,,,,,,,,
682,m0659_0,,,,[II B 5],659,_0,DCLIX,427,DXXXVII,,,510,,Capitolo dei frati: Poema in ottava rima,cartaceo,1700,1701,1800,,255,240,178,rilegato,cartoncino,,,,,,,,,,,,,,,,
683,m0660_0,,,,[II B 6],660,_0,DCLX,,DCLXX,,,510,,Tre dissertazioni,cartaceo,1700,1701,1800,,46,245,185,rilegato,cartoncino,,,,,,,,,,,,,,,,
684,m0661_0,,,,[II B 7],661,_0,DCLXI,,DCLXXI,,,511,,Dissertazioni contro l'uso delle deità pagane nella moderna poesia,cartaceo,1700,1701,1800,,26,240,172,rilegato,cartoncino,,,,,,,,,,,,,,,,
685,m0662_0,,,,[II B 8],662,_0,DCLXII,,DCLXXII-DXXXV,,,511,,Vita della m.r.m. Maria Eletta Emigli da Brescia abbadessa delle Cappuccine di Lonato,cartaceo,1750,1751,1800,,146,245,170,rilegato,cartoncino,,,,,,,,,,,,,,,,
686,m0663_0,,,,[II B 9],663,_0,DCLXIII,,DCLXXIII-DXL,,,512-519,,Givanni ab. Giuseppe roveretano: Prose e versi,cartaceo,1700,1701,1800,,603,213,175,rilegato,mezza pergamena,,,,,,,,,,,,,,,,
687,m0664_0,,,,[II B 10],664,_0,DCLXIV,449,DCLXXIV,,,519,,Serie dei conclavi dal 1276 al 1560. I: da Innocenzo V a Pio IV,cartaceo,1700,1701,1800,,387,235,165,rilegato,cartoncino,,,,,,,,,,,,,,,,
688,m0665_0,,,,[II B 11],665,_0,DCLXV,449,DCLXXV,,,519,,Serie dei conclavi dal 1276 al 1560. II: da Pio V a Leone XI,cartaceo,1700,1701,1800,,249,235,165,rilegato,cartoncino,,,,,,,,,,,,,,,,
689,m0666_0,,,,[II B 12],666,_0,DCLXVI,449,DCLXXVI,,,519,,Serie dei conclavi dal 1276 al 1560. III: da Paolo V ad Alessandro VIII,cartaceo,1700,1701,1800,,349,235,165,rilegato,cartoncino,,,,,,,,,,,,,,,,
690,m0667_0,,,,[II B 13],667,_0,DCLXVII,449,DCLXXVII,,,519,,Serie dei conclavi dal 1276 al 1560. IV: da Innocenzo XII a Clemente XIII,cartaceo,1700,1701,1800,,332,235,165,rilegato,cartoncino,,,,,,,,,,,,,,,,
691,m0668_0,,,,[II B 14],668,_0,DCLXVIII,,DCLXXVIII,,,520,,Moro don Giovanni: Discorso sopra l'usura,cartaceo,1700,1701,1800,,119,240,175,rilegato,cartoncino,,,,,,,,,,,,,,,,
692,m0669_0,,,,[II B 15],669,_0,DCLXIX,,DCLXXIX,,,520,,Becelli Giul. Cesare: La psiche poema,cartaceo,1700,1701,1800,,130,235,173,rilegato,cartoncino,,,,,,,,,,,,,,,,
693,m0670_0,,,,[II B 16],670,_0,DCLXX,,DCLXXX,,,521,,Canobbio Alessandro: Storia della Madonna di Campagna,cartaceo,1700,1701,1800,,27,227,180,rilegato,cartoncino,,,,,,,,,,,,,,,,
694,m0671_0,,,,[II B 17],671,_0,DCLXXI,,DCLXXXI,,,521,,Costituzioni per il ven. Seminario di Verona,cartaceo,1750,1751,1800,,52,236,172,rilegato,cartoncino,,,,,,,,,,,,,,,,
695,m0672_0,,,,[II B 18],672,_0,DCLXXII,,DCLXXXII,,,521,,Corpus philosophicus,cartaceo,1700,1701,1800,,421,228,170,rilegato,cartoncino,,,,,,,,,,,,,,,,
696,m0673_0,,,,[II B 19],673,_0,DCLXXIII,,DCLXXXIII,,,522,,Lectiones canonicae,cartaceo,1700,1701,1800,,199,223,167,rilegato,cartoncino,,,,,,,,,,,,,,,,
697,m0674_0,,,,[II B 20],674,_0,DCLXXIV,,DCLXXXIV,,,522,,Cursus theologicus,cartaceo,1700,1701,1800,,215,224,167,rilegato,cartoncino,,,,,,,,,,,,,,,,
698,m0675_0,,,,[II B 21],675,_0,DCLXXV,,DCLXXXV,,,522,,Zini Petri Francisci Versiones quorundam S. Ephrem,cartaceo,1700,1701,1800,,130,219,150,rilegato,mezza pergamena,,,,,,,,,,,,,,,,
699,m0676_0,,,,[II B 22],676,_0,DCLXXVI,,DCLXXXVI,,,523,,Zini Petri Francisci Versio Sancti Ioannis Damasceni,cartaceo,1700,1701,1800,,121,219,150,rilegato,mezza pergamena,,,,,,,,,,,,,,,,
700,m0677_0,,,,[II B 23],677,_0,DCLXXVII,,DCLXXXVII,,,523,,Tavole cronologiche delle monarchie del mondo,cartaceo,1700,1701,1800,,144,222,155,rilegato,mezza pergamena,,,,,,,,,,,,,,,,
701,m0678_0,,,,[II B 24],678,_0,DCLXXVIII,,DCLXXXVIII,,,524,,Indice dei monarchi del mondo,cartaceo,1700,1701,1800,,87,219,150,rilegato,mezza pergamena,,,,,,,,,,,,,,,,
702,m0679_0,,,,[II B 25],679,_0,DCLXXIX,,DCLXXXIX,,,524,,Bertoldi Pauli In quatuor institutionum libros commentarius,cartaceo,1650,1651,1700,,360,225,157,rilegato,cartoncino,,,,,,,,,,,,,,,,
703,m0680_0,,,,[II B 26],680,_0,DCLXXX,,DCXC,,,524,,Da Lisca cav. Gio. B.: Vita del co. Francesco Montanari,cartaceo,1800,1801,1800,,13,217,141,rilegato,pelle,,,,,,,,,,,,,,,,
704,m0681_0,,,,[II B 27],681,_0,DCLXXXI,,DCXCI-DXXI,,,525,,Lettere e discorsi sugli avvenimenti d'Italia nel principio del sec. XVII,cartaceo,1600,1601,1700,,192,231,153,rilegato,cartoncino,,,,,,,,,,,,,,,,
705,m0682_0,,,,[II B 28],682,_0,DCLXXXII,,DCXCII,,,526,,Leoni Octavii Liberculus visitationis ecclesiarum,cartaceo,1700,1701,1800,,110,207,146,rilegato,cartoncino,,,,,,,,,,,,,,,,
706,m0683_0,,,,[II B 29],683,_0,DCLXXXIII,,DCXCIII-DXX,,,526,,Rimedi per le piaghe del capo etc.,membranaceo,1400,1401,1500,,29,250,163,rilegato,cartoncino,,,,,,,,,,,,,,1,,
707,m0684_0,,,,[II B 30],684,_0,DCLXXXIV,,DCXCIX,,,527-528,,Miscellanea,membranaceo,1300,1301,1400,,84,247,171,rilegato,assi coperte di pelle rossa,,,,,,,,,,,,1,1,1,1,
708,m0685_0,,,,[II B 31],685,_0,DCLXXXV,,DCXCV,,,528,,Excerpta ex diversis auctoribus,cartaceo,1500,1501,1600,,76,219,156,rilegato,cartoncino,,,,,,,,,,,,,,,,
709,m0686_0,,,,[II B 32],686,_0,DCLXXXVI,,DCXCVI,,,528-529,,Angeliloquium et Expositio virtutum psalmorum div. Hieronymi,cartaceo,1500,1501,1600,,120,222,150,rilegato,cartoncino,,,,,,,,,,,,,,1,,
710,m0687_0,,,,[II B 33],687,_0,DCLXXXVII,,DCXCVII,,,529,,De Imola Ioannes abb. S. Mariae: Virtutes psalmorum,cartaceo,1400,1401,1500,,35,222,162,rilegato,cartoncino,,,,,,,,,,,,,,,,
711,m0688_0,,,,[II B 34],688,_0,DCLXXXVIII,,DCXCVIII,,,529,,Virtutes psalmorum,cartaceo,1500,1501,1600,,92,210,160,rilegato,pergamena,,,,,,,,,,,,,,,,
712,m0689_0,,,,[II B 35],689,_0,DCLXXXIX,,DCXCIX,,,530,,P. Ovidi Nasonis Epistolae,membranaceo,1500,1501,1600,,58,220,155,rilegato,pergamena,,,,,,,,,,,,,,1,,
713,m0690_0,,,,[VII A 1],690,_0,DCXC,350,DCC,,,530,,"Hymni, Preces, Antiphonae cum notis musicis",cartaceo,1500,1501,1600,,86,210,153,rilegato,cartoncino,,,,,,,,,,,1,,,1,,
714,m0691_0,,,,[VII A 2],691,_0,DCXCI,,DCCI,,,531,,Rezani Augustini De canonico poenitenziario,cartaceo,1627,1625,1628,,5,218,160,rilegato,pergamena,,,,,,,,,,,,,,,,
715,m0692_0,,,,[VII A 3],692,_0,DCXCII,749,DCCII,,,531,,Boetii Severini Aritmetica,cartaceo,1100,1101,1200,,56,207,145,rilegato,pergamena,,,,,,,,,,,1,,,1,1,
716,m0693_0,,,,[VII A 4],693,_0,DCXCIII,,DCCIII,,,532,,Mathaei datiarii Protocolum,cartaceo,1439,1425,1440,,57,215,150,rilegato,pergamena,,,,,,,,,,,,,,,,
717,m0694_0,,,,[VII A 5],694,_0,DCXCIV,,DCCIV,,,532,,Artis notariae praecepta,cartaceo,1500,1501,1600,,183,210,154,rilegato,pergamena,,,,,,,,,,,,,,,,
718,m0695_0,,,,[VII A 6],695,_0,DCXCV,,DCCV,,,532,,Horatius Fl.: Epistolae et Sermones,membranaceo,1473,1451,1474,,54,200,110,rilegato,pergamena,,,,,,,,,,,,,,1,,
719,m0696_0,,,,[VII A 7],696,_0,DCXCVI,,DCCVI-DXXV,,,533,,Da Sessa Galeazzo Florimonte: Sopra l'Etica di Aristotile,cartaceo,1600,1601,1700,,203,203,146,rilegato,pergamena,,,,,,,,,,,,,,,,
720,m0697_0,,,,[VII A 8],697,_0,DCXCVII,,DCCVII,,,533,,Panigarola: Discorsi,cartaceo,1600,1601,1700,,215,200,150,rilegato,pergamena,,,,,,,,,,,,,,,,
721,m0698_0,,,,[VII A 9],698,_0,DCXCVIII,,DCCVIII,,,534,,Pauli Pergulensis Logica,membranaceo,1475,1475,1500,,42,190,132,rilegato,pelle con impressioni,,,,,,,,,,,1,,,1,1,
722,m0699_0,,,,[VII A 10],699,_0,DCXCIX,,DCCIX,,,534,,Xenophontis Libellus,cartaceo,1400,1401,1500,,16,195,143,rilegato,cartone,,,,,,,,,,,,,,,,
723,m0700_0,,,,[VII A 11],700,_0,DCC,,DCCX,,,534,,Trattato di medicina,cartaceo,1400,1401,1500,,16,195,137,rilegato,cartone,,,,,,,,,,,,,,,,
724,m0701_0,,,,[VII A 12],701,_0,DCCI,,DCCXI,,,535,,Ordini per un novizzo della Compagnia di Monte Berico,cartaceo,1700,1701,1800,,16,212,155,rilegato,cartoncino,,,,,,,,,,,1,,,1,,
725,m0702_0,,,,[VII A 13],702,_0,DCCII,,DCCXII,,,535,,Tariffa de ducati venetiani in oro tradotti in ducati correnti,cartaceo,1500,1501,1600,,28,218,75,rilegato,pergamena,,,,,,,,,,,,,,,,
726,m0703_0,,,,[VII A 14],703,_0,DCCIII,,DCCXIII,,,535-536,,Fides baptismi Caroli Edoardi filli Iacobi III Britanniae regis,membranaceo,1720,1701,1721,,3,222,160,rilegato,cartoncino coperto di seta rossa,,,,,,,,,,1,,,,,,
727,m0704_0,,,,[VII A 15],704,_0,DCCIV,,DCCXIV,,,536,,Sortes sanctorum,cartaceo,1500,1501,1600,,16,250,180,rilegato,pergamena,,,,,,,,,,,,,,,,
728,m0705_0,,,,[VII A 16],705,_0,DCCV,,DCCXV,,,537,,Muselli m. Giuseppe: Vite del ma. Bonifacio e della co. Matilda sua figlia,cartaceo,1700,1701,1800,,25,243,180,rilegato,cartoncino coperto di seta rossa,,,,,,,,,,,,,,,,
729,m0706_0,,,,[VII A 17],706,_0,DCCVI,,DCCXVI,,,537,,Decreta liturgica,cartaceo,1700,1701,1800,,,237,170,fogli sciolti,fogli separati raccolti in due cartoncini,,,,,,,,,,,,,,,,
730,m0707_0,,,,[VII A 18],707,_0,DCCVII,361,DCCXVII,DXXVII,,537,,Lampugnani Alessandro: Trattati di geometria pratica,cartaceo,1675,1675,1700,,94,210,155,rilegato,pergamena,,,,,,,,,,,1,,,,,
731,m0708_0,,,,[VII A 19],708,_0,DCCVIII,381,DCCCXVIII,DXXVII,,538,,Lampugnani Alessandro: Della sfera materiale mondiale,cartaceo,1600,1601,1700,,153,207,152,rilegato,cartoncino,,,,,,,,,,,,,,,,
732,m0709_0,,,,[VII A 20],709,_0,DCCIX,370,DCCXIX,,,538,,Lampugnani Alessandro: Ristretto di nautica,cartaceo,1600,1601,1700,,62,210,152,rilegato,pergamena,,,,,,,,,,,1,,,,,
733,m0710_0,,,,[VII A 21],710,_0,DCCX,359,DCCXX,DXXIX,,538,,Lampugnani Alessandro: Epitome geometricum,cartaceo,1600,1601,1700,,74,206,154,rilegato,pergamena,,,,,,,,,,,,,,,,
734,m0711_0,,,,[VII A 22],711,_0,DCCXI,360,DCCXXI,DXXX,,539,,Lampugnani Alessandro: Optica,cartaceo,1600,1601,1700,,94,202,155,rilegato,pergamena,,,,,,,,,,,,,,,,
735,m0712_0,,,,[VII A 23],712,_0,DCCXII,375,DCCXXII,DXXXI,,539,,Lampugnani Alessandro: Compendio delle regole di blasone,cartaceo,1600,1601,1700,,126,210,153,rilegato,pergamena,,,,,,,,,,,1,,,,,
736,m0713_0,,,,[VII A 24],713,_0,DCCXIII,446,DCCXXIII,,,539,,Lampugnani Alessandro: Astrologia,cartaceo,1675,1675,1700,,112,203,143,rilegato,pelle,,,,,,,,,,,1,,,,,
737,m0714_0,,,,[VII A 25],714,_0,DCCXIV,,DCCXXIV,,,540,,Trattenimento filosofico sopra il linguaggio delle bestie,cartaceo,1700,1701,1800,,73,195,142,rilegato,cartoncino,,,,,,,,,,,,,,,,
738,m0715_0,,,,[VII A 26],715,_0,DCCXV,417,DCCXXV,,,540,,Instituta iuris civilis,cartaceo,1700,1701,1800,,94,201,145,rilegato,pergamena,,,,,,,,,,,,,,,,
739,m0716_0,,,,[VII A 27],716,_0,DCCXVI,,DCCXXVI,,,540,,D'Arco conte Sigismondo: Racconto fatto a madama Soranza essendo nell'eremo di Rua,cartaceo,1700,1701,1800,,22,165,157,rilegato,cartoncino,,,,,,,,,,,,,,,,
740,m0717_0,,,,[VII A 28],717,_0,DCCXVII,137,DCCXXVII,,,541,,Raccolta di iscrizioni veronesi,cartaceo,1700,1701,1800,,127,192,145,rilegato,cartoncino,,,,,,,,,,,,,,,,
741,m0718_0,,,,[VII A 29],718,_0,DCCXVIII,,DCCXXVIII,,,541,,Sarpi fra Paolo: Discorso politico,cartaceo,1700,1701,1800,,47,200,148,rilegato,cartoncino,,,,,,,,,,,,,,,,
742,m0719_0,,,,[VII A 30],719,_0,DCCXIX,,DCCXXIX,,,541,,Libro di magia,cartaceo,1700,1701,1800,,44,190,144,rilegato,cartone,,,,,,,,,,,,,,,,
743,m0720_0,,,,[VII A 31],720,_0,DCCXX,,DCCXXX,,,542,,Rezani Augustini De canonico poenitentiario,cartaceo,1727,1725,1728,,79,203,144,rilegato,cartoncino,,,,,,,,,,,,,,,,
744,m0721_0,,,,[VII A 32],721,_0,DCCXXI,,DCCXXXI,,,542,,Liber ad inveniendum tesaurum,cartaceo,1600,1601,1700,,39,180,128,rilegato,pergamena,,,,,,,,,,,,,,,,
745,m0722_0,,,,[VII A 33],722,_0,DCCXXII,,DCCXXXII,,,542,,Cartolari d. Placido: Inscriptiones,cartaceo,1700,1701,1800,,126,202,140,rilegato,cartoncino,,,,,,,,,,,1,,,,,
746,m0723_0,,,,[VII A 34],723,_0,DCCXXIII,,DCCXXXIII,,,542,,Cartolari d. Placido: Inscriptiones,cartaceo,1700,1701,1800,,292,202,140,rilegato,cartoncino,,,,,,,,,,,1,,,,,
747,m0724_0,,,,[VII A 35],724,_0,DCCXXIV,,DCCXXXIV,,,542,,Cartolari d. Placido: Inscriptiones,cartaceo,1700,1701,1800,,116,202,140,rilegato,cartoncino,,,,,,,,,,,1,,,,,
748,m0725_0,,,,[VII A 36],725,_0,DCCXXV,,DCCXXXV,,,543,,Valaresco Zacaria: La congiura di Bajamonte Tiepolo,cartaceo,1700,1701,1800,,459,177,121,rilegato,pergamena,,,,,,,,,,,,,,,,
749,m0726_0,,,,[VII A 37],726,_0,DCCXXVI,,DCCXXXVI,,,543,,Valaresco Zacaria: La congiura di Bajamonte Tiepolo,cartaceo,1700,1701,1800,,435,177,121,rilegato,pergamena,,,,,,,,,,,,,,,,
750,m0727_0,,,,[VII A 38],727,_0,DCCXXVII,,DCCXXXVII,,,543,,Della Chiesa Lodovico: Pianto dell'anima,cartaceo,1625,1625,1700,,125,179,131,rilegato,mezza pergamena,,,,,,,,,,,1,,1,,,
751,m0728_0,,,,[VII A 39],728,_0,DCCXXVIII,,DCCXXXVIII,,,544,,Dell'arte vetrale o Manescalcaria,cartaceo,1600,1601,1700,,164,205,157,rilegato,cartoncino,,,,,,,,,,,,,,,,
752,m0729_0,,,,[VII A 40],729,_0,DCCXXIX,,DCCXXXIX,,,544,,P. Ovidio Nasone: Dell'arte dell'amore,cartaceo,1700,1701,1800,,34,160,115,rilegato,cartoncino,,,,,,,,,,,,,,,,
753,m0730_0,,,,[VII A 41],730,_0,DCCXXX,,DCCXL,,,544,,P. Ovidio Nasone: Dell'arte dell'amore,cartaceo,1700,1701,1800,,62,160,115,rilegato,cartoncino,,,,,,,,,,,,,,,,
754,m0731_0,,,,[VII A 42],731,_0,DCCXXXI,,DCCXLI,,,544,,P. Ovidio Nasone: Dell'arte dell'amore,cartaceo,1700,1701,1800,,52,160,115,rilegato,cartoncino,,,,,,,,,,,,,,,,
755,m0732_0,,,,[VII A 43],732,_0,DCCXXXII,,DCCXLII,,,544-545,,Miscellanea,cartaceo,1400,1401,1500,,102,159,111,rilegato,pergamena,,,,,,,,,,,,,,,,
756,m0733_0,,,,[VII A 44],733,_0,DCCXXXIII,,DCCXLIII,,,545,,Breviarii Fragmentum,membranaceo,1300,1301,1400,,55,175,130,rilegato,pergamena,,,,,,,,,,,1,,,1,1,
757,m0734_0,,,,[VII A 45],734,_0,DCCXXXIV,,DCCXLIV,,,545,,Grammaticae graecae fragmentum et Aesopi Fabulae,membranaceo,1300,1301,1400,,18,160,124,rilegato,cartone coperto di pelle con fregi dorati,,,,,,,,,,,,,,1,,
758,m0735_0,,,,[VII A 46],735,_0,DCCXXXV,,DCCXLV,,,546,non reperito,Grammatica graeca,membranaceo,1300,1301,1400,,51,135,95,rilegato,assi coperte di pelle con incisioni,,,,,,,,,,1,,1,1,1,,
759,m0736_0,,,,[VII A 47],736,_0,DCCXXXVI,412,DCCXLVI,CCXXVII,,546-547,,Ordo benedicendi seu Rituale ad usum Ecclesiae pisanae,membranaceo,1200,1201,1300,,65,150,115,rilegato,pergamena,,,,,,,,,,,1,,,1,1,
760,m0737_0,,,,[VII A 48],737,_0,DCCXXXVII,,DCCXLVII,,,547-548,,Miscellana sacra,cartaceo,1500,1501,1600,,69,150,105,rilegato,assi coperte di pelle con impressioni e due fermagli,,,,,,,,,,,,,,1,1,
761,m0738_0,,,,[VII A 49],738,_0,DCCXXXVIII,,DCCXLVIII,,,548,,Rezzonico Quintiliano: La sacra lira,cartaceo,1600,1601,1700,,64,143,97,rilegato,pergamena,,,,,,,,,,,,,,,,
762,m0739_0,,,,[VII A 50],739,_0,DCCXXXIX,408,DCCXLIX,,,548,,Calcoli matematico-astronomici,cartaceo,1700,1701,1800,,193,140,100,rilegato,pergamena,,,,,,,,,,,,,,,,
763,m0740_0,,,,[VII A 51],740,_0,DCCXL,405,DCCL,CCCXXXIX,,549,,Miscellanea sacra,membranaceo,1400,1401,1500,,49,138,100,rilegato,,,,,,,,,,,,,1,,1,,
764,m0741_0,,,,[VII A 52],741,_0,DCCXLI,277,DCCLI,DXXIV,,550,,Miscellanea sacra,membranaceo,1400,1401,1500,,68,141,100,rilegato,pelle,,,,,,,,,,,,,,1,,
765,m0742_0,,,"A stampa (L'horto de i semplici di Padova..., Venezia 1592)",[VII A 53],742,_0,DCCXLII,105,DCCLII,,,550,unito a fascicolo a stampa,Herbarius patavinus,cartaceo,1500,1501,1600,,73,145,95,rilegato,pergamena,,,,,,,,,,,,,,,,
766,m0743_0,,,,[VII A 54],743,_0,DCCXLIII,,DCCLIII,,,551,,De luna et stellis,cartaceo,1478,1475,1479,,49,150,113,rilegato,cartoncino,,,,,,,,,,,1,,,1,,
767,m0744_0,,,,[VII A 55],744,_0,DCCXLIV,,DCCLIV,,,551,,Memorie di un viaggiatore,cartaceo,1700,1701,1800,,93,142,93,rilegato,pergamena,,,,,,,,,,,,,,,,
768,m0745_0,,,,[VII A 56],745,_0,DCCXLV,,DCCLV,,,552,,Guarini veron. Regulae grammaticales,cartaceo,1400,1401,1500,,37,130,98,rilegato,pergamena,,,,,,,,,,1,,1,1,1,1,
769,m0746_0,,1,,[VII B 57],746,_0,DCCXLVI,,DCCLVI,,,552,,Psalterium ad usum breviari,membranaceo,1300,1301,1400,,109,130,98,rilegato,nessuna legatura,,,,,,,,,,1,,1,1,1,1,
770,m0747_0,,,,[VII B 58],747,_0,DCCXLVII,,DCCLVII,,,553,,Summa confessionis,membranaceo,1300,1301,1400,,86,113,85,rilegato,nessuna legatura,,,,1,,,,,,,,,,1,,
771,m0748_0,,,,[VII B 59],748,_0,DCCXLVIII,404,DCCLVIII,CCCXXV,,553-554,,Collectiones variae ex ss. patribus canonibus,membranaceo,1455,1451,1456,,260,105,75,rilegato,assi coperte di pelle con impressioni e fermaglio,,,,,,,,,,,,,,1,,
772,m0749_0,,,,[VII B 60],749,_0,DCCXLIX,417,DCCLIX,CCCXLI,,554,,Officium B.M.V. et alia officia,membranaceo,1400,1401,1500,,233,105,75,rilegato,assi,,,,,,,,,,1,,1,1,1,1,
773,m0750_0,,,,[VII B 61],750,_0,DCCL,,DCCLX,,,554,,Libro di preghiere,cartaceo,1673,1651,1674,,95,100,54,rilegato,pergamena,,,,,,,,,,,,,,,,
774,m0751_0,,,,[VII B 62],751,_0,DCCLI,420,DCCLXI,DXVI,,555,,Altomoro Re di Persia: tragedia,cartaceo,1600,1601,1700,,98,94,66,rilegato,pelle,,,,,,,,,,,,,,,,
775,m0752_0,,,,[VII B 63],752,_0,DCCLII,413,DCCLXII,CCXL,,555,,Officium B.M.V. et alia officia,membranaceo,1400,1401,1500,,233,76,55,rilegato,assi,,,,,,,,,,1,,1,1,1,1,
776,m0753_0,,,,[VII B 64],753,_0,DCCLIII,,DCCLXIII,,,555-556,,Officium B.M.Virginis et alia officia,membranaceo,1400,1401,1500,,175,67,50,rilegato,pellle con impressioni in oro e busta per conservarlo,,,,,,,,,,1,,1,1,1,1,
777,m0754_0,,,,[VII B 65],754,_0,DCCLIV,,DCCLXIV,,,556,,Officum B.M.Virg. et alia officia,membranaceo,1400,1401,1500,,290,105,75,rilegato,pelle con impressioni dorate,,,,,,,,,,1,,1,,1,,
778,m0755_0,,,,[A 1 1],755,_0,DCCLV,443,DCCLXV,,,556-557,,Missae et Hymni sub notis musicis,cartaceo,1500,1501,1600,,130,,,rilegato,assi coperte di pelle con impressioni e fermagli,,,,,,,,,,,,,,1,,
779,m0756_0,,,,[A 1 2],756,_0,DCCLVI,392,DCCLXVI,,,557,,Missae com notis musicis,membranaceo,1400,1401,1500,,162,320,220,rilegato,pelle con impressioni in oro,,,,,,,,,,1,1,1,1,,,
780,m0757_0,,,,[A 1 3],757,_0,DCCLVII,438,DCCLXVII,,,557,,Solfeggi del canto,cartaceo,1500,1501,1600,,67,215,330,rilegato,pelle con impressioni,,,,,,,,,,,,,,,,
781,m0758_0,,,,[A 1 4],758,_0,DCCLVIII,,DCCLXVIII,,,558,,Antiphonae et Psalmi sub notis musicis,cartaceo,1500,1501,1600,,119,450,340,rilegato,assi,,,,,,,,,,1,,1,1,,,
782,m0759_0,,,,[A 1 5],759,_0,DCCLIX,,DCCLXIX,,,558-559,,"Missae, Antiphonae, Hymni et Psalmi sub notis musicis",cartaceo,1500,1501,1600,,98,445,330,rilegato,assi coperte di pelle con impressioni e borchie,,,,,,,,,,,1,1,,1,1,
783,m0760_0,,,,[A 1 6],760,_0,DCCLX,,DCCLXXA,,,559-560,,Antiphonae et Psalmi sub notis musicis,cartaceo,1500,1501,1600,,110,445,330,rilegato,assi e fermagli,,,,,,,,,,,1,,,1,,
784,m0761_0,,,,[B A 2],761,_0,DCCLXI,,DCCLXXB,,,560-561,,Missae con notis musicis,membranaceo,1500,1501,1600,,225,570,425,rilegato,"assi coperte di pelle con impressioni, fermagli e borchie",,,,,,,,,,1,1,1,1,,,
785,m0762_0,,,,E B 5,762,_0,DCCLXII,447,DCCLXXI,,,561,,Initia sacrae scripturae,membranaceo,1400,1401,1500,,6,540,390,rilegato,cartoncino,,,,,,,,,,1,,1,1,,,
786,m0763_0,,,,[F B 5],763,_0,DCCLXIII,,DCCLXXII,,,561,,"Disegni, profilo e pianta del bagno del palazzo di Augusto",cartaceo,1700,1701,1800,,7,360,535,rilegato,cartoncino,,,,,,,,,,,1,,1,,,
787,m0764_0,,,,[A D 1],764,_0,DCCLXIV,,,,,562,,Bernardi Stefano: Missae et Psalmi,cartaceo,1700,1701,1800,,90,550,410,rilegato,pelle e fermagli,,,,,,,,,,,1,1,,1,,
788,m0765_0,,,,[A 1 7],765,_0,DCCLXV,,DCCLXXIII,,,562-563,,Constitutiones Capituli Veronensis (Libro catena),membranaceo,1300,1301,1600,,74,375,255,rilegato,pelle con borchie e catena,,,,,,,,1,1966,1,,1,1,1,1,
789,m0766_0,,,,[A 1 8],766,_0,DCCLXVI,189,DCCLXXIV,,,564,,Statuta Comunis Veronae,cartaceo,1700,1701,1800,,141,355,250,rilegato,pergamena,,,,,,,,,,,,,,,,
790,m0767_0,,,,[A 1 9],767,_0,DCCLXVII,,DCCXXV,,,564-565,,Canobbio Alssandro: Registro dell'archivio capitolare,cartaceo,1600,1601,1700,,226,345,240,rilegato,assi coperte di pelle con impressioni e fermagli,,,,,,,,,,,,,,,,
791,m0768_0,,,,[A 1 10],768,_0,DCCLXVIII,,,,,565,,Canobbio Alessandro: Registro dell'archivio capitolare,cartaceo,1600,1601,1700,,215,320,220,rilegato,pelle nera con impressioni e fermagli,,,,,,,,,,,,,,,,
792,m0769_0,,,,A 1 11,769,_0,DCCLXIX,,DCCLXXVII,,,565,,Scritture del patriarca d'Aquileia,cartaceo,1740,1741,1800,,98,345,240,rilegato,cartoncino,,,,,,,,,,,,,,,,
793,m0770_0,,,,[A 1 12],770,_0,DCCLXX,,DCCLXVII,,,566,collocazione segnata come A 1 13,Miscellanea storia,cartaceo,1700,1701,1800,,,,,fascicoli,fascicoli separati raccolti in busta,,,,,,,,,,,,,,,,
794,m0771_0,,,,A 1 13,771,_0,DCCLXXI,,DCCLXXVIII,,,566-567,,Stato presente dell'Impero russo e di altri imperi,cartaceo,1700,1701,1800,,73,335,223,rilegato,cartoncino,,,,,,,,,,,,,,,,
795,m0772_0,,,,[A 1 14],772,_0,DCCLXXII,,DCCLXXIX,,,567,,Constitutiones et decreta Capituli canonicorum Veronae,cartaceo,1600,1601,1700,,80,300,205,rilegato,pergamena con impressioni dorate,,,,,,,,,,,,,,,,
796,m0773_0,,,,A 1 15,773,_0,DCCLXXIII,,DCCLXXX,,,567,,Constitutiones et decreta Capituli canonic. veronen.,cartaceo,1700,1701,1800,,77,330,230,rilegato,cartoncino,,,,,,,,,,,,,,,,
797,m0774_0,,,,A 1 16,774,_0,DCCLXXIV,460,DCCLXXXI,,,568-569,,Bagatta Raf. e Peretti Giamba.: Lettere,cartaceo,1500,1501,1600,,52,312,215,rilegato,pergamena,,,,,,,,,,,,,,,,
